city, state, code
Burbank, CA ,BUR
Burlington, IA ,BRL
Burlington, VT ,BTV
Butte, MT ,BTM
return to top
C
Canton/Akron, OH ,CAK
Cape Girardeau, MO ,CGI
Cape Lisburne, AK ,LUR
Cape Newenham, AK ,EHM
Carbondale, IL ,MDH
Carlsbad, CA ,CLD
Carlsbad, NM ,CNM
Carmel, CA ,MRY
Casper, WY ,CPR
Cedar City, UT ,CDC
Cedar Rapids, IA ,CID
Central, AK ,CEM
Chadron, NE ,CDR
Chalkyitsik, AK ,CIK
Champaign/Urbana, IL ,CMI
Charleston, SC ,CHS
Charleston, WV ,CRW
Charlotte, NC ,CLT
Charlottesville, VA ,CHO
Chattanooga, TN ,CHA
Chefornak, AK ,CYF
Chevak, AK ,VAK
Cheyenne, WY ,CYS
Chicago, IL - All airports ,CHI
Chicago, IL - Midway ,MDW
Chicago, IL - O'Hare ,ORD
Chicken, AK ,CKX
Chico, CA ,CIC
Chignik, AK - Fisheries ,KCG
Chignik, AK - ,KCQ
Chignik, AK - Lagoon ,KCL
Chisana, AK ,CZN
Chisholm/Hibbing, MN ,HIB
Chuathbaluk, AK ,CHU
Cincinnati, OH ,CVG
Circle Hot Springs, AK ,CHP
Circle, AK ,IRC
Clarks Point, AK ,CLP
Clarksburg, WV ,CKB
Clearwater/St Petersburg, FL ,PIE
Cleveland, OH ,CLE
Clovis, NM ,CVN
Cody/Yellowstone, WY ,COD
Coffee Point, AK ,CFA
Coffman Cove, AK ,KCC
Cold Bay, AK ,CDB
College Station, TX ,CLL
Colorado Springs, CO ,COS
Columbia, MO ,COU
Columbia, SC ,CAE
Columbus, GA ,CSG
Columbus, MS ,GTR
Columbus, OH ,CMH
Concord, CA ,CCR
Concordia, KS ,CNK
Copper Mountain, CO - Van service ,QCE
Cordova, AK ,CDV
Corpus Christi, TX ,CRP
Cortez, CO ,CEZ
Craig, AK ,CGA
Crescent City, CA ,CEC
Crooked Creek, AK ,CKO
Cube Cove, AK ,CUW
Cumberland, MD ,CBE
return to top
D
Dallas, TX - Love Field ,DAL
Dallas, TX - Dallas/Ft Worth Intl. ,DFW
Dayton, OH ,DAY
Daytona Beach, FL ,DAB
Decatur, IL ,DEC
Deering, AK ,DRG
Del Reo, TX ,DRT
Delta Junction, AK ,DJN
Denver, CO - International ,DEN
Denver, CO - Longmont Bus service ,QWM
Des Moines, IA ,DSM
Detroit, MI - All airports ,DTT
Detroit, MI - Metro/Wayne County ,DTW
Devil's Lake, ND ,DVL
Dickinson, ND ,DIK
Dillingham, AK ,DLG
Dodge City, KS ,DDC
Dothan, AL ,DHN
Dubois, PA ,DUJ
Dubuque, IA ,DBQ
Duluth, MN ,DLH
Durango, CO ,DRO
Durham, NC ,RDU
Durham/Raleigh, NC ,RDU
Dutch Harbor, AK ,DUT
return to top
E
Easton, PA ,ABE
Eau Claire, WI ,EAU
Edna Bay, AK ,EDA
Eek, AK ,EEK
Ekuk, AK ,KKU
Ekwok, AK ,KEK
El Centro, CA ,IPL
El Dorado, AR ,ELD
El Paso, TX ,ELP
Elfin Cove, AK ,ELV
Elim, AK ,ELI
Elko, NV ,EKO
Elmira, NY ,ELM
Ely, MN ,LYU
Emmonak, AK ,EMK
Endicott, NY ,BGM
Enid, OK ,WDG
Erie, PA ,ERI
Escanaba, MI ,ESC
Eugene, OR ,EUG
Eureka/Arcata, CA ,ACV
Eureka, NV ,EUE
Evansville, IN ,EVV
return to top
F
Fairbanks, AK ,FAI
Fargo, ND ,FAR
Farmington, NM ,FMN
Fayetteville, AR - Municipal/Drake ,FYV
Fayetteville, AR - Northwest Arkansas Regional ,XNA
Fayetteville, NC ,FAY
Flagstaff, AZ ,FLG
Flint, MI ,FNT
Florence, SC ,FLO
Florence/Muscle Shoals/Sheffield, AL ,MSL
Fort Collins/Loveland, CO - Municipal Airport ,FNL
Fort Collins/Loveland, CO - Bus service ,QWF
Fort Dodge, IA ,FOD
Fort Lauderdale, FL ,FLL
Fort Leonard Wood, MO ,TBN
Fort Myers, FL ,RSW
Fort Smith, AR ,FSM
Fort Walton Beach, FL ,VPS
Fort Wayne, IN ,FWA
Fort Worth/Dallas, TX ,DFW
Franklin, PA ,FKL
Fresno, CA ,FAT
return to top
G
Gainesville, FL ,GNV
Gallup, NM ,GUP
Garden City, KS ,GCK
Gary, IN ,GYY
Gillette, WY ,GCC
Gladewater/Kilgore, TX ,GGG
Glasgow, MT ,GGW
Glendive, MT ,GDV
Golovin, AK ,GLV
Goodnews Bay, AK ,GNU
Grand Canyon, AZ - Heliport ,JGC
Grand Canyon, AZ - National Park ,GCN
Grand Forks, ND ,GFK
Grand Island, NE ,GRI
Grand Junction, CO ,GJT
Grand Rapids, MI ,GRR
Grand Rapids, MN ,GPZ
Grayling, AK ,KGX
Great Falls, MT ,GTF
Green Bay, WI ,GRB
Greensboro, NC ,GSO
Greenville, MS ,GLH
Greenville, NC ,PGV
Greenville/Spartanburg, SC ,GSP
Groton/New London, CT ,GON
Gulfport, MS ,GPT
Gunnison, CO ,GUC
Gustavus, AK ,GST
return to top
H
Hagerstown, MD ,HGR
Hailey, ID ,SUN
Haines, AK ,HNS
Hampton, VA ,PHF
Hana, HI - Island of Maui ,HNM
Hanapepe, HI ,PAK
Hancock, MI ,CMX
Hanover, NH ,LEB
Harlingen, TX ,HRL
Harrisburg, PA ,MDT
Harrison, AR ,HRO
Hartford, CT ,BDL
Havasupai, AZ ,HAE
Havre, MT ,HVR
Hayden, CO ,HDN
Hays, KS ,HYS
Healy Lake, AK ,HKB
Helena, MT ,HLN
Hendersonville, NC ,AVL
Hibbing/Chisholm, MN ,HIB
Hickory, NC ,HKY
High Point, NC ,GSO
Hilo, HI - Island of Hawaii ,ITO
Hilton Head, SC ,HHH
Hobbs, NM ,HBB
Hollis, AK ,HYL
Holy Cross, AK ,HCR
Homer, AK ,HOM
Honolulu, HI - Island of Oahu ,HNL
Hoolehua, HI - Island of Molokai ,MKK
Hoonah, AK ,HNH
Hooper Bay, AK ,HPB
Hot Springs, AR ,HOT
Houston, TX - All airports ,HOU
Houston, TX - Hobby ,HOU
Houston, TX - Intercontinental ,IAH
Hughes, AK ,HUS
Huntington, WV/Ashland, KY ,HTS
Huntsville, AL ,HSV
Huron, SD ,HON
Huslia, AK ,HSL
Hyannis, MA ,HYA
Hydaburg, AK ,HYG
return to top
I
Idaho Falls, ID ,IDA
Igiugig, AK ,IGG
Iliamna, AK ,ILI
Imperial, CA ,IPL
Indianapolis, IN ,IND
International Falls, MN ,INL
Inyokern, CA ,IYK
Iron Mountain, MI ,IMT
Ironwood, MI ,IWD
Islip, NY ,ISP
Ithaca, NY ,ITH
return to top
J
Jackson Hole, WY ,JAC
Jackson, MS ,JAN
Jackson, TN ,MKL
Jacksonville, FL ,JAX
Jacksonville, NC ,OAJ
Jamestown, ND ,JMS
Jamestown, NY ,JHW
Janesville, WI ,JVL
Johnson City, NY ,BGM
Johnson City, TN ,TRI
Johnstown, PA ,JST
Jonesboro, AR ,JBR
Joplin, MO ,JLN
Juneau, AK ,JNU
return to top
K
Kahului, HI - Island of Maui, ,OGG
Kake, AK ,KAE
Kakhonak, AK ,KNK
Kalamazoo, MI ,AZO
Kalaupapa, HI - Island of Molokai, ,LUP
Kalskag, AK ,KLG
Kaltag, AK ,KAL
Kamuela, HI - Island of Hawaii, ,MUE
Kansas City, MO ,MCI
Kapalua, HI - Island of Maui, ,JHM
Kasaan, AK ,KXA
Kasigluk, AK ,KUK
Kauai Island/Lihue, HI ,LIH
Kearney, NE ,EAR
Keene, NH ,EEN
Kenai, AK ,ENA
Ketchikan, AK ,KTN
Key West, FL ,EYW
Keystone, CO - Van service ,QKS
Kiana, AK ,IAN
Kilgore/Gladewater, TX ,GGG
Killeen, TX ,ILE
King Cove, AK ,KVC
King Salmon, AK ,AKN
Kingman, AZ ,IGM
Kingsport, TN ,TRI
Kipnuk, AK ,KPN
Kirksville, MO ,IRK
Kivalina, AK ,KVL
Klamath Falls, OR ,LMT
Klawock, AK ,KLW
Knoxville, TN ,TYS
Kobuk, AK ,OBU
Kodiak, AK ,ADQ
Kona, HI - Island of Hawaii ,KOA
Kongiganak, AK ,KKH
Kotlik, AK ,KOT
Kotzebue, AK ,OTZ
Koyukuk, AK ,KYU
Kwethluk, AK ,KWT
Kwigillingok, AK ,KWK
return to top
L
La Crosse, WI ,LSE
Lafayette, IN ,LAF
Lafayette, LA ,LFT
Lake Charles, LA ,LCH
Lake Havasu City, AZ ,HII
Lake Minchumina, AK ,LMA
Lanai City, HI - Island of Lanai ,LNY
Lancaster, PA ,LNS
Lansing, MI ,LAN
Laramie, WY ,LAR
Laredo, TX ,LRD
Las Vegas, NV ,LAS
Latrobe, PA ,LBE
Laurel, MS ,PIB
Lawton, OK ,LAW
Lebanon, NH ,LEB
Levelock, AK ,KLL
Lewisburg, WV ,LWB
Lewiston, ID ,LWS
Lewistown, MT ,LWT
Lexington, KY ,LEX
Liberal, KS ,LBL
Lihue, HI - Island of Kaui ,LIH
Lincoln, NE ,LNK
Little Rock, AR ,LIT
Long Beach, CA ,LGB
Longview, TX ,GGG
Lopez Island, WA ,LPS
Los Angeles, CA ,LAX
Louisville, KY ,SDF
Loveland/Fort Collins, CO - Municipal Airport ,FNL
Loveland/Fort Collins, CO - Bus service ,QWF
Lubbock, TX ,LBB
return to top
M
Macon, GA ,MCN
Madison, WI ,MSN
Madras, OR ,MDJ
Manchester, NH ,MHT
Manhattan, KS ,MHK
Manistee, MI ,MBL
Mankato, MN ,MKT
Manley Hot Springs, AK ,MLY
Manokotak, AK ,KMO
Marietta, OH/Parkersburg, WV ,PKB
Marion, IL ,MWA
Marquette, MI ,MQT
Marshall, AK ,MLL
Martha's Vineyard, MA ,MVY
Martinsburg, PA ,AOO
Mason City, IA ,MCW
Massena, NY ,MSS
Maui, HI ,OGG
Mcallen, TX ,MFE
Mccook, NE ,MCK
Mcgrath, AK ,MCG
Medford, OR ,MFR
Mekoryuk, AK ,MYU
Melbourne, FL ,MLB
Memphis, TN ,MEM
Merced, CA ,MCE
Meridian, MS ,MEI
Metlakatla, AK ,MTM
Meyers Chuck, AK ,WMK
Miami, FL - International ,MIA
Miami, FL - Sea Plane Base ,MPB
Midland, MI ,MBS
Midland/Odessa, TX ,MAF
Miles City, MT ,MLS
Milwaukee, WI ,MKE
Minneapolis, MN ,MSP
Minot, ND ,MOT
Minto, AK ,MNT
Mission, TX ,MFE
Missoula, MT ,MSO
Moab, UT ,CNY
Mobile, AL ,MOB
Modesto, CA ,MOD
Moline, IL ,MLI
Monroe, LA ,MLU
Monterey, CA ,MRY
Montgomery, AL ,MGM
Montrose, CO ,MTJ
Morgantown, WV ,MGW
Moses Lake, WA ,MWH
Mountain Home, AR ,WMH
Mountain Village, AK ,MOU
Muscle Shoals, AL ,MSL
Muskegon, MI ,MKG
Myrtle Beach, SC ,MYR
return to top
N
Nantucket, MA ,ACK
Napakiak, AK ,WNA
Napaskiak, AK ,PKA
Naples, FL ,APF
Nashville, TN ,BNA
Naukiti, AK ,NKI
Nelson Lagoon, AK ,NLG
New Chenega, AK ,NCN
New Haven, CT ,HVN
New Koliganek, AK ,KGK
New London/Groton ,GON
New Orleans, LA ,MSY
New Stuyahok, AK ,KNW
New York, NY - All airports ,NYC
New York, NY - Kennedy ,JFK
New York, NY - La Guardia ,LGA
Newark, NJ ,EWR
Newburgh/Stewart Field, NY ,SWF
Newport News, VA ,PHF
Newtok, AK ,WWT
Nightmute, AK ,NME
Nikolai, AK ,NIB
Nikolski, AK ,IKO
Noatak, AK ,WTK
Nome, AK ,OME
Nondalton, AK ,NNL
Noorvik, AK ,ORV
Norfolk, NE ,OFK
Norfolk, VA ,ORF
North Bend, OR ,OTH
North Platte, NE ,LBF
Northway, AK ,ORT
Nuiqsut, AK ,NUI
Nulato, AK ,NUL
Nunapitchuk, AK ,NUP
return to top
O
Oakland, CA ,OAK
Odessa/Midland, TX ,MAF
Ogdensburg, NY ,OGS
Oklahoma City, OK ,OKC
Omaha, NE ,OMA
Ontario, CA ,ONT
Orange County, CA ,SNA
Orlando, FL - Herndon ,ORL
Orlando, FL - International ,MCO
Oshkosh, WI ,OSH
Ottumwa, IA ,OTM
Owensboro, KY ,OWB
Oxnard/Ventura, CA ,OXR
return to top
P
Paducah, KY ,PAH
Page, AZ ,PGA
Palm Springs, CA ,PSP
Panama City, FL ,PFN
Parkersburg, WV/Marietta, OH ,PKB
Pasco, WA ,PSC
Pedro Bay, AK ,PDB
Pelican, AK ,PEC
Pellston, MI ,PLN
Pendleton, OR ,PDT
Pensacola, FL ,PNS
Peoria, IL ,PIA
Perryville, AK ,KPV
Petersburg, AK ,PSG
Philadelphia, PA - International ,PHL
Philadelphia, PA - Trenton/Mercer NJ ,TTN
Phoenix, AZ ,PHX
Pierre, SD ,PIR
Pilot Point, AK - Ugashnik Bay ,UGB
Pilot Point, AK ,PIP
Pilot Station, AK ,PQS
Pittsburgh, PA ,PIT
Platinum, AK ,PTU
Plattsburgh, NY ,PLB
Pocatello, ID ,PIH
Point Baker, AK ,KPB
Point Hope, AK ,PHO
Point Lay, AK ,PIZ
Ponca City, OK ,PNC
Ponce, Puerto Rico ,PSE
Port Alsworth, AK ,PTA
Port Angeles, WA ,CLM
Port Arthur/Beaumont, TX ,BPT
Port Clarence, AK ,KPC
Port Heiden, AK ,PTH
Port Moller, AK ,PML
Port Protection, AK ,PPV
Portage Creek, AK ,PCA
Portland, ME ,PWM
Portland, OR ,PDX
Portsmouth, NH ,PSM
Poughkeepsie, NY ,POU
Prescott, AZ ,PRC
Presque Isle, ME ,PQI
Princeton, WV ,BLF
Providence, RI ,PVD
Provincetown, MA ,PVC
Prudhoe Bay/Deadhorse, AK ,SCC
Pueblo, CO ,PUB
Pullman, WA ,PUW
return to top
Q
Quincy, IL ,UIN
Quinhagak, AK ,KWN
return to top
R
Raleigh/Durham, NC ,RDU
Rampart, AK ,RMP
Rapid City, SD ,RAP
Reading, PA ,RDG
Red Devil, AK ,RDV
Redding, CA ,RDD
Redmond, OR ,RDM
Reno, NV ,RNO
Rhinelander, WI, ,RHI
Richmond, VA ,RIC
Riverton, WY ,RIW
Roanoke, VA ,ROA
Roche Harbor, WA ,RCE
Rochester, MN ,RST
Rochester, NY ,ROC
Rock Springs, WY ,RKS
Rockford, IL ,RFD
Rockland, ME ,RKD
Rosario, WA ,RSJ
Roswell, NM ,ROW
Ruby, AK ,RBY
Russian Mission, AK ,RSH
Rutland, VT ,RUT
return to top
S
Sacramento, CA ,SMF
Saginaw, MI ,MBS
Saint Cloud, MN ,STC
Saint George Island, AK ,STG
Saint George, UT ,SGU
Saint Louis, MO ,STL
Saint Mary's, AK ,KSM
Saint Michael, AK ,SMK
Saint Paul Island, AK ,SNP
Salem, OR ,SLE
Salina, KS ,SLN
Salisbury-Ocean City, MD ,SBY
Salt Lake City, UT ,SLC
San Angelo, TX ,SJT
San Antonio, TX ,SAT
San Diego, CA ,SAN
San Francisco, CA ,SFO
San Jose, CA ,SJC
San Juan, Puerto Rico ,SJU
San Luis Obispo, CA ,SBP
Sand Point, AK ,SDP
Sanford, FL ,SFB
Santa Ana, CA ,SNA
Santa Barbara, CA ,SBA
Santa Fe, NM ,SAF
Santa Maria, CA ,SMX
Santa Rosa, CA ,STS
Saranac Lake, NY ,SLK
Sarasota, FL ,SRQ
Sault Ste Marie, MI, ,CIU
Savannah, GA ,SAV
Savoonga, AK ,SVA
Scammon Bay, AK ,SCM
Scottsbluff, NE ,BFF
Scranton, PA ,AVP
Seattle, WA - Lake Union SPB ,LKE
Seattle, WA - Seattle/Tacoma International ,SEA
Selawik, AK ,WLK
Seward, AK ,SWD
Shageluk, AK ,SHX
Shaktoolik, AK ,SKK
Sheffield/Florence/Muscle Shoals, AL ,MSL
Sheldon Point, AK ,SXP
Sheridan, WY ,SHR
Shishmaref, AK ,SHH
Shreveport, LA ,SHV
Shungnak, AK ,SHG
Silver City, NM ,SVC
Sioux City, IA ,SUX
Sioux Falls, SD ,FSD
Sitka, AK ,SIT
Skagway, AK ,SGY
Sleetmore, AK ,SLQ
South Bend, IN ,SBN
South Naknek, AK ,WSN
Southern Pines, NC ,SOP
Spartanburg/Greenville, SC ,GSP
Spokane, WA ,GEG
Springfield, IL ,SPI
Springfield, MO ,SGF
St Petersburg/Clearwater, FL ,PIE
State College/University Park, PA ,SCE
Staunton, VA ,SHD
Steamboat Springs, CO ,SBS
Stebbins, AK ,WBB
Stevens Point/Wausau, WI ,CWA
Stevens Village, AK ,SVS
Stewart Field/Newburgh, NY ,SWF
Stockton, CA ,SCK
Stony River, AK ,SRV
Sun Valley, ID ,SUN
Syracuse, NY ,SYR
return to top
T
Takotna, AK ,TCT
Talkeetna, AK ,TKA
Tallahassee, FL ,TLH
Tampa, FL ,TPA
Tanana, AK ,TAL
Taos, NM ,TSM
Tatitlek, AK ,TEK
Teller Mission, AK ,KTS
Telluride, CO ,TEX
Tenakee Springs, AK ,TKE
Terre Haute, IN ,HUF
Tetlin, AK ,TEH
Texarkana, AR ,TXK
Thief River Falls, MN ,TVF
Thorne Bay, AK ,KTB
Tin City, AK ,TNC
Togiak Village, AK ,TOG
Tok, AK ,TKJ
Toksook Bay, AK ,OOK
Toledo, OH ,TOL
Topeka, KS ,FOE
Traverse City, MI ,TVC
Trenton/Mercer, NJ ,TTN
Tucson, AZ ,TUS
Tulsa, OK ,TUL
Tuluksak, AK ,TLT
Tuntutuliak, AK ,WTL
Tununak, AK ,TNK
Tupelo, MS ,TUP
Tuscaloosa, AL ,TCL
Twin Falls, ID ,TWF
Twin Hills, AK ,TWA
Tyler, TX ,TYR
return to top
U
Unalakleet, AK ,UNK
Urbana/Champaign, IL ,CMI
Utica, NY ,UCA
Utopia Creek, AK ,UTO
return to top
V
Vail, CO - Eagle County Airport ,EGE
Vail, CO - Van service ,QBF
Valdez, AK ,VDZ
Valdosta, GA ,VLD
Valparaiso, FL ,VPS
Venetie, AK ,VEE
Ventura/Oxnard, CA ,OXR
Vernal, UT ,VEL
Victoria, TX ,VCT
Visalia, CA ,VIS
return to top
W
Waco, TX ,ACT
Wainwright, AK ,AIN
Wales, AK ,WAA
Walla Walla, WA ,ALW
Washington DC - All airports ,WAS
Washington DC - Dulles ,IAD
Washington DC - National ,DCA
Waterfall, AK ,KWF
Waterloo, IA ,ALO
Watertown, NY ,ART
Watertown, SD ,ATY
Wausau/Stevens Point, WI ,CWA
Wenatchee, WA ,EAT
West Palm Beach, FL ,PBI
West Yellowstone, MT ,WYS
Westchester County, NY ,HPN
Westerly, RI ,WST
Westsound, WA ,WSX
Whale Pass, AK ,WWP
White Mountain, AK ,WMO
White River, VT ,LEB
Wichita Falls, TX ,SPS
Wichita, KS ,ICT
Wilkes Barre, PA ,AVP
Williamsburg, VA ,PHF
Williamsport, PA ,IPT
Williston, ND ,ISN
Wilmington, NC ,ILM
Windsor Locks, CT ,BDL
Worcester, MA ,ORH
Worland, WY ,WRL
Wrangell, AK ,WRG
return to top
Y
Yakima, WA ,YKM
Yakutat, AK ,YAK
Yellowstone/Cody, WY ,COD
Youngstown, OH ,YNG
Yuma, AZ ,YUM
return to top
Canadian Provinces
AB - Alberta
BC - British Columbia
MB - Manitoba
NB - New Brunswick
NL - Newfoundland
NS - Nova Scotia
NT - Northwest Territory
NU - Nunavut
ON - Ontario
PE - Prince Edward Island
QC - Quebec
SK - Saskatchewan
YT - Yukon Territory
Abbotsford, BC ,YXX
Akulivik, QC ,AKV
Aldershot, ON - Rail service ,XLY
Alexandria,ON - Rail service ,XFS
Alma, QC ,YTF
Anahim Lake, BC ,YAA
Angling Lake, ON ,YAX
Arctic Bay, NU ,YAB
Arviat, NU ,YEK
Attawapiskat, ON ,YAT
Aupaluk, QC ,YPJ
Bagotville, QC ,YBG
Baie Comeau, QC ,YBC
Baker Lake, NU ,YBK
Bathhurst, NB ,ZBF
Bearskin Lake, ON ,XBE
Bella Bella, BC ,ZEL
Bella Coola, BC ,QBC
Belleville, ON - Rail service ,XVV
Berens River, MB ,YBV
Big Trout, ON ,YTL
Black Tickle, NL ,YBI
Blanc Sablon, QC ,YBX
Bonaventure, QC ,YVB
Brampton, ON - Rail service ,XPN
Brandon, MB ,YBR
Brantford, ON - Rail service ,XFV
Brochet, MB ,YBT
Brockville, ON ,XBR
Burns Lake, BC ,YPZ
Calgary, AB ,YYC
Cambridge Bay, NU ,YCB
Campbell River, BC ,YBL
Campbellton, NB - Rail service ,XAZ
Cape Dorset, NU ,YTE
Capreol, ON - Rail service ,XAW
Cartwright, NL ,YRF
Casselman, ON - Rail service ,XZB
Castlegar, BC ,YCG
Cat Lake, ON ,YAC
Chambord, QC - Rail service ,XCI
Chandler, QC - Rail service ,XDL
Chapleau, ON ,YLD
Charlottetown, NL ,YHG
Charlottetown, PE ,YYG
Chatham, ON ,XCM
Chemainus, BC - Rail service ,XHS
Chesterfield Inlet, NU ,YCS
Chevery, QC ,YHR
Chibougamau, QC ,YMT
Chisasibi, QC ,YKU
Churchill Falls, NL ,ZUM
Churchill, MB - Rail service ,XAD
Churchill, MB ,YYQ
Clyde River, NU ,YCY
Cobourg, ON - Rail service ,XGJ
Colville Lake, NT ,YCK
Comox, BC ,YQQ
Coral Harbour, NU ,YZS
Cornwall, ON ,YCC
Coteau, QC - Rail service ,XGK
Courtenay, BC ,YCA
Cranbrook, BC ,YXC
Cross Lake, MB ,YCR
Dauphin, MB ,YDN
Davis Inlet, NL ,YDI
Dawson City, YT ,YDA
Dawson Creek, BC ,YDQ
Deer Lake, NL ,YDF
Deer Lake, ON ,YVZ
Deline, NT ,YWJ
Drummondville, QC - Rail service ,XDM
Dryden, ON ,YHD
Duncan/Quam, BC ,DUQ
East Main, QC ,ZEM
Edmonton, AB - Rail service ,XZL
Edmonton, AB - International ,YEG
Esquimalt, BC ,YPF
Flin Flon, MB ,YFO
Fond du Lac, SK ,ZFD
Fort Albany, ON ,YFA
Fort Chipewyan, AB ,YPY
Fort Frances, ON ,YAG
Fort Good Hope, NT ,YGH
Fort Hope, ON ,YFH
Fort Mcmurray, AB ,YMM
Fort Nelson, BC ,YYE
Fort Severn, ON ,YER
Fort Simpson, NT ,YFS
Fort Smith, NT ,YSM
Fort St John, BC ,YXJ
Fox Harbour/St Lewis, NL ,YFX
Fredericton Junction, NB - Rail service ,XFC
Fredericton, NB ,YFC
Gander, NL ,YQX
Gaspe, QC - Rail service ,XDD
Gaspe, QC ,YGP
Georgetown, ON - Rail service ,XHM
Gethsemani, QC ,ZGS
Gillam, MB ,YGX
Gillies Bay, BC ,YGB
Gjoa Haven, NU ,YHK
Glencoe, ON - Rail service ,XZC
Gods Narrows, MB ,YGO
Gods River, MB ,ZGI
Goose Bay, NL ,YYR
Grande Prairie, AB ,YQU
Grimsby, ON ,XGY
Grise Fiord, NU ,YGZ
Guelph, ON - Rail service ,XIA
Halifax, NS - Rail service ,XDG
Halifax, NS - International ,YHZ
Hall Beach, NU ,YUX
Hamilton, ON ,YHM
Havre St Pierre, QC ,YGV
Hay River, NT ,YHY
Hervey, QC - Rail service ,XDU
High Level, AB ,YOJ
Holman, NT ,YHI
Hopedale, NL ,YHO
Houston, BC - Bus station ,ZHO
Hudson Bay, SK ,YHB
Igloolik, NU ,YGT
Iles De La Madeleine, QC ,YGR
Ilford, MB ,ILF
Ingersoll, ON - Rail service ,XIB
Inukjuak, QC ,YPH
Inuvik, NT ,YEV
Iqaluit, NU ,YFB
Island Lake/Garden Hill ,YIV
Ivujivik, QC ,YIK
Jasper, AB - Rail service ,XDH
Joliette, QC - Rail service ,XJL
Jonquiere, QC - Rail service ,XJQ
Kamloops, BC ,YKA
Kangiqsualujjuaq, QC ,XGR
Kangiqsujuaq, QC ,YWB
Kangirsuk, QC ,YKG
Kapuskasing, ON ,YYU
Kasabonika, ON ,XKS
Kaschechewan, ON ,ZKE
Keewaywin, ON ,KEW
Kegaska, QC ,ZKG
Kelowna, BC ,YLW
Kenora, ON ,YQK
Kimmirut/Lake Harbour NU ,YLC
Kingfisher Lake, ON ,KIF
Kingston, ON - Rail service ,XEG
Kingston, ON - Norman Rogers Airport ,YGK
Kitchener, ON ,YKF
Klemtu, BC ,YKT
Kugaaruk, NU ,YBB
Kugluktuk/Coppermine, NU ,YCO
Kuujjuaq, QC ,YVP
Kuujjuarapik, QC ,YGW
La Grande, QC ,YGL
La Ronge, SK ,YVC
La Tabatiere, QC ,ZLT
La Tuque, QC ,YLQ
Lac Brochet, MB ,XLB
Lac Edouard, QC - Rail service ,XEE
Ladysmith, BC - Rail service ,XEH
Langford, BC - Rail service ,XEJ
Lansdowne House, ON ,YLH
Leaf Rapids, MB ,YLR
Lethbridge, AB ,YQL
Lloydminister, AB ,YLL
London, ON - Rail service ,XDQ
London, ON - Municipal Airport ,YXU
Lutselke/Snowdrift, NT ,YSG
Mary's Harbour, NL ,YMH
Maxville, ON - Rail service ,XID
Medicine Hat, AB ,YXH
Melville, SK - Rail service ,XEK
Miramichi, NB - Rail service ,XEY
Moncton, NB - Rail service ,XDP
Moncton, NB - Airport ,YQM
